utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
0 %, 0 %, 11178 MiB, 11178 MiB, 0 MiB
0 %, 0 %, 11178 MiB, 11178 MiB, 0 MiB
0 %, 0 %, 11178 MiB, 11178 MiB, 0 MiB
0 %, 0 %, 11178 MiB, 11178 MiB, 0 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
4 %, 0 %, 11178 MiB, 10961 MiB, 217 MiB
4 %, 0 %, 11178 MiB, 10889 MiB, 289 MiB
5 %, 0 %, 11178 MiB, 10763 MiB, 415 MiB
4 %, 0 %, 11178 MiB, 10647 MiB, 531 MiB
0 %, 0 %, 11178 MiB, 10581 MiB, 597 MiB
0 %, 0 %, 11178 MiB, 10581 MiB, 597 MiB
0 %, 0 %, 11178 MiB, 10581 MiB, 597 MiB
0 %, 0 %, 11178 MiB, 10581 MiB, 597 MiB
0 %, 0 %, 11178 MiB, 10581 MiB, 597 MiB
0 %, 0 %, 11178 MiB, 10581 MiB, 597 MiB
0 %, 0 %, 11178 MiB, 10581 MiB, 597 MiB
0 %, 0 %, 11178 MiB, 10581 MiB, 597 MiB
69 %, 16 %, 11178 MiB, 8797 MiB, 2381 MiB
46 %, 14 %, 11178 MiB, 9319 MiB, 1859 MiB
0 %, 0 %, 11178 MiB, 8519 MiB, 2659 MiB
0 %, 0 %, 11178 MiB, 8759 MiB, 2419 MiB
60 %, 28 %, 11178 MiB, 8683 MiB, 2495 MiB
53 %, 28 %, 11178 MiB, 8683 MiB, 2495 MiB
19 %, 9 %, 11178 MiB, 8683 MiB, 2495 MiB
0 %, 0 %, 11178 MiB, 8683 MiB, 2495 MiB
0 %, 0 %, 11178 MiB, 8683 MiB, 2495 MiB
0 %, 0 %, 11178 MiB, 8683 MiB, 2495 MiB
74 %, 35 %, 11178 MiB, 8683 MiB, 2495 MiB
73 %, 37 %, 11178 MiB, 8683 MiB, 2495 MiB
35 %, 19 %, 11178 MiB, 8683 MiB, 2495 MiB
0 %, 0 %, 11178 MiB, 8683 MiB, 2495 MiB
0 %, 0 %, 11178 MiB, 8683 MiB, 2495 MiB
0 %, 0 %, 11178 MiB, 8683 MiB, 2495 MiB
65 %, 34 %, 11178 MiB, 8683 MiB, 2495 MiB
70 %, 39 %, 11178 MiB, 8683 MiB, 2495 MiB
0 %, 0 %, 11178 MiB, 8683 MiB, 2495 MiB
0 %, 0 %, 11178 MiB, 8683 MiB, 2495 MiB
62 %, 30 %, 11178 MiB, 8683 MiB, 2495 MiB
0 %, 0 %, 11178 MiB, 8683 MiB, 2495 MiB
0 %, 0 %, 11178 MiB, 8683 MiB, 2495 MiB
0 %, 0 %, 11178 MiB, 8683 MiB, 2495 MiB
0 %, 0 %, 11178 MiB, 8683 MiB, 2495 MiB
34 %, 17 %, 11178 MiB, 8683 MiB, 2495 MiB
30 %, 16 %, 11178 MiB, 8683 MiB, 2495 MiB
0 %, 0 %, 11178 MiB, 8683 MiB, 2495 MiB
0 %, 0 %, 11178 MiB, 8683 MiB, 2495 MiB
62 %, 31 %, 11178 MiB, 8683 MiB, 2495 MiB
32 %, 17 %, 11178 MiB, 8683 MiB, 2495 MiB
0 %, 0 %, 11178 MiB, 8683 MiB, 2495 MiB
0 %, 0 %, 11178 MiB, 8683 MiB, 2495 MiB
0 %, 0 %, 11178 MiB, 8683 MiB, 2495 MiB
0 %, 0 %, 11178 MiB, 8683 MiB, 2495 MiB
2 %, 0 %, 11178 MiB, 8683 MiB, 2495 MiB
0 %, 0 %, 11178 MiB, 8683 MiB, 2495 MiB
0 %, 0 %, 11178 MiB, 8683 MiB, 2495 MiB
60 %, 29 %, 11178 MiB, 8683 MiB, 2495 MiB
0 %, 0 %, 11178 MiB, 8683 MiB, 2495 MiB
66 %, 31 %, 11178 MiB, 8683 MiB, 2495 MiB
0 %, 0 %, 11178 MiB, 8683 MiB, 2495 MiB
0 %, 0 %, 11178 MiB, 8683 MiB, 2495 MiB
0 %, 0 %, 11178 MiB, 8683 MiB, 2495 MiB
0 %, 0 %, 11178 MiB, 8683 MiB, 2495 MiB
0 %, 0 %, 11178 MiB, 8683 MiB, 2495 MiB
0 %, 0 %, 11178 MiB, 8683 MiB, 2495 MiB
0 %, 0 %, 11178 MiB, 8683 MiB, 2495 MiB
0 %, 0 %, 11178 MiB, 8683 MiB, 2495 MiB
0 %, 0 %, 11178 MiB, 8683 MiB, 2495 MiB
63 %, 28 %, 11178 MiB, 8683 MiB, 2495 MiB
75 %, 34 %, 11178 MiB, 8683 MiB, 2495 MiB
0 %, 0 %, 11178 MiB, 8683 MiB, 2495 MiB
0 %, 0 %, 11178 MiB, 8683 MiB, 2495 MiB
0 %, 0 %, 11178 MiB, 8683 MiB, 2495 MiB
12 %, 4 %, 11178 MiB, 8683 MiB, 2495 MiB
0 %, 0 %, 11178 MiB, 8683 MiB, 2495 MiB
0 %, 0 %, 11178 MiB, 8683 MiB, 2495 MiB
0 %, 0 %, 11178 MiB, 8683 MiB, 2495 MiB
54 %, 28 %, 11178 MiB, 8683 MiB, 2495 MiB
75 %, 32 %, 11178 MiB, 8683 MiB, 2495 MiB
0 %, 0 %, 11178 MiB, 8683 MiB, 2495 MiB
0 %, 0 %, 11178 MiB, 8683 MiB, 2495 MiB
0 %, 0 %, 11178 MiB, 8683 MiB, 2495 MiB
0 %, 0 %, 11178 MiB, 8683 MiB, 2495 MiB
59 %, 28 %, 11178 MiB, 8683 MiB, 2495 MiB
0 %, 0 %, 11178 MiB, 8683 MiB, 2495 MiB
0 %, 0 %, 11178 MiB, 8683 MiB, 2495 MiB
0 %, 0 %, 11178 MiB, 8683 MiB, 2495 MiB
8 %, 0 %, 11178 MiB, 8683 MiB, 2495 MiB
33 %, 13 %, 11178 MiB, 8683 MiB, 2495 MiB
31 %, 17 %, 11178 MiB, 8683 MiB, 2495 MiB
0 %, 0 %, 11178 MiB, 8683 MiB, 2495 MiB
0 %, 0 %, 11178 MiB, 8683 MiB, 2495 MiB
70 %, 38 %, 11178 MiB, 8683 MiB, 2495 MiB
32 %, 17 %, 11178 MiB, 8683 MiB, 2495 MiB
0 %, 0 %, 11178 MiB, 8683 MiB, 2495 MiB
0 %, 0 %, 11178 MiB, 8683 MiB, 2495 MiB
63 %, 30 %, 11178 MiB, 8683 MiB, 2495 MiB
74 %, 33 %, 11178 MiB, 8683 MiB, 2495 MiB
61 %, 29 %, 11178 MiB, 8683 MiB, 2495 MiB
0 %, 0 %, 11178 MiB, 8683 MiB, 2495 MiB
0 %, 0 %, 11178 MiB, 8683 MiB, 2495 MiB
0 %, 0 %, 11178 MiB, 8683 MiB, 2495 MiB
0 %, 0 %, 11178 MiB, 8683 MiB, 2495 MiB
0 %, 0 %, 11178 MiB, 8683 MiB, 2495 MiB
0 %, 0 %, 11178 MiB, 8683 MiB, 2495 MiB
8 %, 0 %, 11178 MiB, 8683 MiB, 2495 MiB
0 %, 0 %, 11178 MiB, 8683 MiB, 2495 MiB
32 %, 17 %, 11178 MiB, 8683 MiB, 2495 MiB
58 %, 28 %, 11178 MiB, 8683 MiB, 2495 MiB
0 %, 0 %, 11178 MiB, 8683 MiB, 2495 MiB
0 %, 0 %, 11178 MiB, 8683 MiB, 2495 MiB
0 %, 0 %, 11178 MiB, 8683 MiB, 2495 MiB
0 %, 0 %, 11178 MiB, 8683 MiB, 2495 MiB
32 %, 17 %, 11178 MiB, 8683 MiB, 2495 MiB
0 %, 0 %, 11178 MiB, 8683 MiB, 2495 MiB
0 %, 0 %, 11178 MiB, 8683 MiB, 2495 MiB
59 %, 27 %, 11178 MiB, 8683 MiB, 2495 MiB
58 %, 28 %, 11178 MiB, 8683 MiB, 2495 MiB
62 %, 30 %, 11178 MiB, 8683 MiB, 2495 MiB
0 %, 0 %, 11178 MiB, 8683 MiB, 2495 MiB
0 %, 0 %, 11178 MiB, 8683 MiB, 2495 MiB
0 %, 0 %, 11178 MiB, 8683 MiB, 2495 MiB
0 %, 0 %, 11178 MiB, 8683 MiB, 2495 MiB
0 %, 0 %, 11178 MiB, 8683 MiB, 2495 MiB
59 %, 29 %, 11178 MiB, 8683 MiB, 2495 MiB
39 %, 21 %, 11178 MiB, 8683 MiB, 2495 MiB
1 %, 0 %, 11178 MiB, 8683 MiB, 2495 MiB
25 %, 10 %, 11178 MiB, 8683 MiB, 2495 MiB
28 %, 12 %, 11178 MiB, 8683 MiB, 2495 MiB
4 %, 1 %, 11178 MiB, 8683 MiB, 2495 MiB
