utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
0 %, 0 %, 11178 MiB, 11178 MiB, 0 MiB
0 %, 0 %, 11178 MiB, 11178 MiB, 0 MiB
0 %, 0 %, 11178 MiB, 11178 MiB, 0 MiB
0 %, 0 %, 11178 MiB, 11178 MiB, 0 MiB
0 %, 0 %, 11178 MiB, 11178 MiB, 0 MiB
0 %, 0 %, 11178 MiB, 11178 MiB, 0 MiB
0 %, 0 %, 11178 MiB, 11178 MiB, 0 MiB
0 %, 0 %, 11178 MiB, 11178 MiB, 0 MiB
0 %, 0 %, 11178 MiB, 11178 MiB, 0 MiB
0 %, 0 %, 11178 MiB, 11178 MiB, 0 MiB
0 %, 0 %, 11178 MiB, 11178 MiB, 0 MiB
0 %, 0 %, 11178 MiB, 11178 MiB, 0 MiB
0 %, 0 %, 11178 MiB, 11178 MiB, 0 MiB
0 %, 0 %, 11178 MiB, 11178 MiB, 0 MiB
0 %, 0 %, 11178 MiB, 11178 MiB, 0 MiB
0 %, 0 %, 11178 MiB, 11178 MiB, 0 MiB
0 %, 0 %, 11178 MiB, 11178 MiB, 0 MiB
0 %, 0 %, 11178 MiB, 11178 MiB, 0 MiB
0 %, 0 %, 11178 MiB, 11178 MiB, 0 MiB
0 %, 0 %, 11178 MiB, 11178 MiB, 0 MiB
0 %, 0 %, 11178 MiB, 11178 MiB, 0 MiB
0 %, 0 %, 11178 MiB, 11178 MiB, 0 MiB
0 %, 0 %, 11178 MiB, 11178 MiB, 0 MiB
0 %, 0 %, 11178 MiB, 11178 MiB, 0 MiB
0 %, 0 %, 11178 MiB, 11178 MiB, 0 MiB
0 %, 0 %, 11178 MiB, 11178 MiB, 0 MiB
0 %, 0 %, 11178 MiB, 11178 MiB, 0 MiB
0 %, 0 %, 11178 MiB, 11178 MiB, 0 MiB
0 %, 0 %, 11178 MiB, 11178 MiB, 0 MiB
0 %, 0 %, 11178 MiB, 11178 MiB, 0 MiB
0 %, 0 %, 11178 MiB, 11178 MiB, 0 MiB
0 %, 0 %, 11178 MiB, 11178 MiB, 0 MiB
0 %, 0 %, 11178 MiB, 11178 MiB, 0 MiB
0 %, 0 %, 11178 MiB, 11178 MiB, 0 MiB
0 %, 0 %, 11178 MiB, 11178 MiB, 0 MiB
0 %, 0 %, 11178 MiB, 11178 MiB, 0 MiB
2 %, 0 %, 11178 MiB, 11033 MiB, 145 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
2 %, 0 %, 11178 MiB, 10923 MiB, 255 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
3 %, 0 %, 11178 MiB, 10869 MiB, 309 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
3 %, 0 %, 11178 MiB, 10775 MiB, 403 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
4 %, 0 %, 11178 MiB, 10671 MiB, 507 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
7 %, 0 %, 11178 MiB, 10485 MiB, 693 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 10485 MiB, 693 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 10485 MiB, 693 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 10485 MiB, 693 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 10485 MiB, 693 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 10485 MiB, 693 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 10485 MiB, 693 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 10485 MiB, 693 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 10485 MiB, 693 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 10485 MiB, 693 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 10485 MiB, 693 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 10483 MiB, 695 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 10475 MiB, 703 MiB
4 %, 0 %, 11178 MiB, 10915 MiB, 263 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 10475 MiB, 703 MiB
4 %, 0 %, 11178 MiB, 10831 MiB, 347 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 10475 MiB, 703 MiB
4 %, 0 %, 11178 MiB, 10699 MiB, 479 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 10475 MiB, 703 MiB
3 %, 0 %, 11178 MiB, 10593 MiB, 585 MiB
7 %, 0 %, 11178 MiB, 10999 MiB, 179 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 10475 MiB, 703 MiB
0 %, 0 %, 11178 MiB, 10593 MiB, 585 MiB
3 %, 0 %, 11178 MiB, 10861 MiB, 317 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 10475 MiB, 703 MiB
0 %, 0 %, 11178 MiB, 10593 MiB, 585 MiB
5 %, 0 %, 11178 MiB, 10695 MiB, 483 MiB
0 %, 0 %, 11178 MiB, 11168 MiB, 10 MiB
0 %, 0 %, 11178 MiB, 10475 MiB, 703 MiB
0 %, 0 %, 11178 MiB, 10593 MiB, 585 MiB
2 %, 0 %, 11178 MiB, 10593 MiB, 585 MiB
4 %, 0 %, 11178 MiB, 10999 MiB, 179 MiB
0 %, 0 %, 11178 MiB, 10475 MiB, 703 MiB
0 %, 0 %, 11178 MiB, 10593 MiB, 585 MiB
0 %, 0 %, 11178 MiB, 10593 MiB, 585 MiB
0 %, 0 %, 11178 MiB, 10881 MiB, 297 MiB
0 %, 0 %, 11178 MiB, 10475 MiB, 703 MiB
0 %, 0 %, 11178 MiB, 10593 MiB, 585 MiB
0 %, 0 %, 11178 MiB, 10593 MiB, 585 MiB
4 %, 0 %, 11178 MiB, 10715 MiB, 463 MiB
0 %, 0 %, 11178 MiB, 10419 MiB, 759 MiB
0 %, 0 %, 11178 MiB, 10537 MiB, 641 MiB
0 %, 0 %, 11178 MiB, 10537 MiB, 641 MiB
1 %, 0 %, 11178 MiB, 10593 MiB, 585 MiB
56 %, 30 %, 11178 MiB, 9455 MiB, 1723 MiB
56 %, 30 %, 11178 MiB, 9387 MiB, 1791 MiB
50 %, 32 %, 11178 MiB, 9467 MiB, 1711 MiB
13 %, 7 %, 11178 MiB, 9461 MiB, 1717 MiB
32 %, 6 %, 11178 MiB, 5707 MiB, 5471 MiB
42 %, 15 %, 11178 MiB, 5759 MiB, 5419 MiB
44 %, 16 %, 11178 MiB, 5839 MiB, 5339 MiB
19 %, 9 %, 11178 MiB, 4739 MiB, 6439 MiB
39 %, 14 %, 11178 MiB, 3821 MiB, 7357 MiB
38 %, 13 %, 11178 MiB, 3933 MiB, 7245 MiB
25 %, 9 %, 11178 MiB, 3821 MiB, 7357 MiB
18 %, 7 %, 11178 MiB, 3803 MiB, 7375 MiB
46 %, 17 %, 11178 MiB, 2611 MiB, 8567 MiB
62 %, 18 %, 11178 MiB, 2661 MiB, 8517 MiB
